      index  analytical        finite     % error 
                              difference 
         1       2.29878       2.29878   1.32883e-09
         2      -3.62965      -3.62965   7.60109e-09
         3      -6.38728      -6.38728    2.6196e-08
         4     -0.109508     -0.109508   4.95052e-10
         5      -3.01676      -3.01676   4.52203e-09
         6     -0.433451     -0.433451   3.42158e-11
         7      0.684394      0.684394   8.45007e-10
         8       1.20437       1.20437   2.14179e-09
         9     0.0206485     0.0206485   8.72851e-10
        10       0.56883       0.56883   8.61445e-11
        11       1.60861       1.60861   3.01523e-10
        12       -2.5399       -2.5399   3.82603e-09
        13       -4.4696       -4.4696   1.93186e-08
        14    -0.0766301    -0.0766301   3.19076e-11
        15      -2.11103      -2.11103   1.72536e-09
        16     -0.649577     -0.649577   2.11648e-10
        17       1.02565       1.02565   5.83321e-09
        18       1.80488       1.80488   2.50855e-09
        19     0.0309442     0.0309442   5.05745e-10
        20      0.852459      0.852459   7.78612e-10
        21      -4.18203      -4.18203   1.57937e-09
        22       6.60318       6.60318   3.07497e-08
        23         11.62         11.62     8.681e-08
        24      0.199221      0.199221   2.17332e-09
        25       5.48819       5.48819   4.06553e-08
        26      -17.8042      -17.8042   3.23067e-09
        27       7.70595       7.70595   3.90151e-09
        28       3.49243       3.49243   8.66385e-09
        29     -0.435592     -0.435592   1.81788e-08
        30       9.95207       9.95207   5.46775e-10
