# Table 2 in Zeh and Punt

# n: Number of years wit data
12

# Year, N4, SE(N4), indicator N4, P4, SE(P4), indicator
# Comment: Missing data set to 10000 to enable computation on cv also for that year

1978 3338 	295   	1	10000  	10000	0 
1979 10000  	10000   0   	.85 	.09 	1
1980 2722 	491   	1	10000  	10000	0 
1981 3261 	689	1	.75 	.166	1
1982 4756 	814	1	.567 	.191	1
1983 4605 	848	1	10000  	10000	0 
1985 3136 	583	1	.479 	.093	1
1986 4160 	600	1	.405 	.065	1
1987 3712 	544	1	10000  	10000	0 
1988 5102 	456	1	.74 	.062	1 
1993 7613 	531	1	.933 	.014	1 
2001 9025 	1068	1	.862 	.044	1 

