# number of     number of    -1 for 
# observations  parameters  left truncated
28638             6              -1
# data
# Y      mean        other parameters
3.81671  1    0.00560264 0.145362 -0.0261612 2.34136 1.95048
0.682431  1    -1.14821 0.187991 0.449056 1.54107 -0.260946
2.43864  1    0.112897 -0.460629 0.929253 0.0221931 1.57259
1.03293  1    -1.7595 0.0702596 -0.0919753 2.0439 -0.450934
0.899634  1    -0.891858 0.062501 -1.44137 0.709502 1.15159
6.45245  1    -1.0822 -0.45104 -1.15256 1.39035 1.83131
2.10906  1    -1.10261 1.24734 1.366 0.546145 0.967188
3.32056  1    -1.85475 0.210501 -1.16302 -0.320932 1.97488
2.60487  1    0.477346 -0.211198 -0.35842 1.69979 1.72637
0.834765  1    -1.18407 0.842665 -0.349612 1.90573 0.971581
0.642269  1    -0.590634 0.762567 -0.755613 2.01837 -0.0770256
3.636  1    -1.88984 -2.01355 -1.24945 1.21961 0.332904
4.01152  1    -2.0487 -0.823604 -1.87655 1.8331 0.352819
0.355988  1    0.893009 2.00286 0.205862 -0.258428 1.69919
8.93118  1    -0.824246 -1.09587 0.0773315 0.16457 2.64837
1.08797  1    -0.300211 -0.155934 1.23527 -0.247552 2.06256
0.834091  1    -0.376385 -1.25035 -1.45496 0.82077 0.605825
0.371795  1    -1.52796 -0.357564 -0.929236 0.661636 0.227309
2.44569  1    -1.02626 0.963037 -0.865373 0.249585 1.15866
4.40181  1    0.102888 0.738259 -1.29315 1.88875 2.20941
1.99961  1    -0.853445 0.582445 -1.07232 0.216735 1.66958
5.72622  1    -0.020396 0.622043 0.207549 1.806 1.92569
3.36712  1    -1.49521 1.73596 1.08617 0.480369 0.207793
1.41322  1    -2.34692 -0.966815 0.759944 0.390057 0.751952
4.42814  1    -0.439944 1.097 1.37698 -1.08184 1.6709
3.76112  1    0.473396 -0.87605 -0.862518 1.38015 2.60024
2.09171  1    -1.16906 3.24016 0.207115 -0.874395 2.52795
1.33144  1    -0.339638 -1.01072 0.185168 0.291608 1.72033
1.44766  1    -1.57069 0.432651 -1.20899 1.19 0.359254
2.47907  1    0.547949 0.178823 -0.087905 0.766433 1.77932
1.60484  1    0.779155 -0.311391 -0.104655 0.545935 0.67035
2.12542  1    -0.288674 -1.28287 -0.200194 -0.34466 2.50671
1.49733  1    0.803312 -0.167291 0.820637 1.25316 1.76821
1.25942  1    -0.00435064 -0.092979 -0.41909 1.03413 2.41408
0.0114318  1    0.323781 -0.600665 -1.19371 2.08137 1.43088
3.98861  1    -0.519966 -0.0227111 -0.348934 0.152208 2.56488
0.551375  1    -0.0359069 0.481847 -0.585825 0.250001 0.325626
0.0362934  1    -0.331691 1.12135 -0.541027 -0.499907 0.703864
1.945  1    -1.4463 -2.70909 -1.70567 0.628559 1.9464
0.135214  1    -0.8232 -0.235345 -0.360557 0.00667041 0.751894
1.45739  1    -0.287211 0.473639 0.223895 0.93724 0.573194
4.17505  1    -0.667887 0.657653 1.14697 -0.182682 1.11191
3.26219  1    -1.46093 -1.4479 -0.665628 2.17184 0.648675
0.569737  1    0.134913 -0.998963 0.889389 0.0720722 1.95617
0.849664  1    -0.073159 0.174071 -1.47385 0.0506372 1.08639
1.01356  1    0.515224 0.176308 -1.52617 0.104615 1.47364
3.76552  1    0.0605266 -0.099621 0.298318 1.72091 0.966232
1.55109  1    -2.03009 -0.568597 -0.647589 -0.679384 0.00963595
4.07507  1    -2.49047 0.923208 0.451267 0.485766 1.056
4.36785  1    -1.38661 0.681755 -0.180843 1.52303 0.152341
1.94875  1    -1.51263 -0.00958188 0.0485421 1.00787 -0.00517453
2.07181  1    -1.37701 -0.132263 0.922145 0.944584 0.562145
4.46094  1    -0.082739 0.395969 -1.27341 0.099655 2.30979
0.44443  1    -2.16264 -1.36586 0.573587 0.349106 0.0356583
3.95894  1    0.116622 0.93705 0.210582 1.08625 1.44166
0.932922  1    -0.412521 -2.20761 -1.02835 1.1915 -0.02835
1.31578  1    -0.398893 2.14299 -0.516432 1.40203 0.230341
8.17062  1    -1.30358 2.81137 1.84149 -0.0483215 1.92681
0.11901  1    -0.184703 0.971112 0.444227 0.427855 0.301956
0.0489341  1    0.515433 -0.703464 0.650987 2.40934 0.486175
2.40235  1    0.533347 -0.0056036 -0.854112 1.39588 1.08414
4.12279  1    0.192365 0.592592 1.17782 2.11893 1.26427
0.200466  1    -1.56894 1.25046 -1.17058 0.20623 -0.616955
0.704461  1    -1.1719 0.374111 0.393379 1.03031 0.552721
0.852099  1    -1.37286 -0.0249084 0.539447 1.34629 0.00870454
0.487138  1    -0.0190784 0.946945 0.670968 0.0567172 1.17263
0.732615  1    -0.316283 1.70837 -1.84383 0.605487 0.00259102
0.655659  1    -1.7127 -0.436438 1.44236 0.242875 1.007
0.437268  1    -1.2484 -0.150001 -0.437715 1.93165 0.123836
0.0699647  1    -0.696408 -0.932672 -1.05923 1.35016 0.233989
0.265305  1    -0.305508 0.184434 1.02657 0.221994 1.65762
3.59109  1    -1.03367 -1.37893 0.15197 0.216342 1.79196
1.36743  1    -0.225227 -0.206496 0.165099 1.26686 0.365406
2.08639  1    -2.10904 -0.220909 -0.288279 0.671522 1.15593
6.96892  1    -2.04845 -0.0993334 -0.606393 2.80598 1.22971
0.969986  1    -1.56163 0.223288 -1.18046 0.988236 -0.0913444
3.28592  1    0.401996 -0.744672 -1.0038 1.81898 1.37239
6.5905  1    -1.65275 0.241019 -0.13509 0.192235 2.31788
3.87779  1    -0.664272 2.49539 -1.21278 -0.168792 1.00146
1.83424  1    -0.057779 -0.590041 -0.336963 0.677989 1.95368
0.412002  1    0.55749 -0.249388 -0.100884 1.36801 1.69741
2.07122  1    0.223144 1.28598 0.00231095 0.31517 0.840792
2.03942  1    0.373335 1.0564 1.32393 1.19959 1.36822
2.89953  1    -1.60167 0.216121 0.979506 1.37102 -0.0100371
0.603403  1    -2.3685 0.190794 0.0169262 -0.432912 0.772574
4.16789  1    0.66481 1.44525 -1.02259 1.47949 2.34157
4.66127  1    -0.530516 1.25972 0.388107 -0.135193 1.31957
3.3012  1    -0.778567 1.153 0.513118 -0.164007 0.92473
1.57318  1    -2.72314 0.113389 -0.554263 0.644389 -0.300726
4.08358  1    -1.36264 0.448333 -0.0686545 1.54076 0.710336
