# initial value for a1
  .1
# penalty weight on the eps^2
#  .01
#number of time periods
136
#y   
1286.6 1320.4 1349.8 1356.0
1369.2 1365.9 1378.2 1406.8
1431.4 1444.9 1438.2 1426.6
1406.8 1401.2 1418.0 1438.8
1469.6 1485.7 1505.5 1518.7
1515.7 1522.6 1523.7 1540.6
1553.3 1552.4 1561.5 1537.3
1506.1 1514.2 1550.0 1586.7
1606.4 1637.0 1629.5 1643.4
1671.6 1666.8 1668.4 1654.1
1671.3 1692.1 1716.3 1754.9
1777.9 1796.4 1813.1 1810.1
1834.6 1860.0 1892.5 1906.1
1948.7 1965.4 1985.2 1993.7
2036.9 2066.4 2099.3 2147.6
2190.1 2195.8 2218.3 2229.2
2241.8 2255.2 2287.7 2300.6
2327.3 2366.9 2385.3 2383.0
2416.5 2419.8 2433.2 2423.5
2408.6 2406.5 2435.8 2413.8
2478.6 2478.4 2491.1 2491.0
2545.6 2595.1 2622.1 2671.3
2734.0 2741.0 2738.3 2762.8
2747.4 2755.2 2719.3 2695.4
2642.7 2669.6 2714.9 2752.7
2804.4 2816.9 2828.6 2856.8
2896.0 2942.7 3001.8 2994.1
3020.5 3115.9 3142.6 3181.6
3181.7 3178.7 3207.4 3201.3
3233.4 3157.0 3159.1 3199.2
3261.1 3250.2 3264.6 3219.0
3170.4 3179.9 3154.5 3159.3
3190.6 3259.3 3303.4 3357.2
3449.4 3492.6 3510.4 3515.6

