# n
 744 
# y
 25 17.3 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 31 15 9.7 3.8 3.8 3.8 3.8 3.8 24.6 3.8 3.8 3.8 3.8 3.8 3.8 33 30 18 3.7 3.7 3.7 3.7 3.7 3.7 23.8 3.7 3.7 3.7 3.7 3.7 24.3 18.6 20.8 2.3 2.3 2.3 2.3 23.9 2.3 2.3 2.3 2.3 2.3 2.3 31.7 27 14.2 3.4 3.4 3.4 3.4 18.2 3.4 3.4 3.4 3.4 3.4 3.4 20.3 24 19 3 3 3 3 17.3 3 3 3 3 3 3 3 32.5 19 17.9 2.4 2.4 2.4 2.4 2.4 23.4 2.4 2.4 2.4 2.4 2.4 2.4 2.4 25.8 24 25.8 3 3 3 3 3 3 34.2 3 3 3 3 3 3 36.1 27 22.1 3.2 3.2 3.2 3.2 3.2 3.2 29.2 3.2 3.2 3.2 3.2 3.2 34.2 3.2 19.6 27 19.9 3.5 3.5 3.5 3.5 3.5 23.4 3.5 3.5 3.5 3.5 3.5 3.5 30.9 24 24 3 3 3 24.3 26 17 3.3 5 3.3 3.3 3.3 3.3 3.3 3.3 3.3 3.3 3.3 34.1 3.3 16 11 11 2.8 24.1 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 38.2 22 25.6 2.8 2.8 2.8 2.8 25.6 2.8 2.8 2.8 2.8 2.8 2.8 25.7 2.8 2.8 14.3 26 3.3 19.3 3.3 3.3 3.3 3.3 3.3 3.3 3.3 3.3 3.3 3.3 29.7 12 12 17.3 4 3 3 3 26.8 3 3 3 3 3 3 3 3 3 38.4 22 2.8 2.8 21.3 2.8 2.8 2.8 28.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 34.9 20 21.9 20 2.5 2.5 2.5 2.5 25.9 2.5 2.5 2.5 2.5 2.5 2.5 28.9 6.7 10 10 18.9 2.5 2.5 3 3 3 3 23.2 3 3 3 3 3 3 32.9 24 23.1 3 3 3 3 3 27.8 3 3 3 3 3 3 34 17.5 17.5 21.1 4.5 4.5 4.5 4.5 4.5 4.5 4.5 4.5 29.1 4.5 4.5 4.5 4.5 21.1 15 15 21.8 4 4 4 25 60 22.3 7.5 7.5 7.5 7.5 7.5 26.6 7.5 7.5 7.5 7.5 7.5 7.5 27.7 63 63 37.3 32 10 10 10 10 10 10 41.7 10 10 10 10 10 10 38.1 15 13.7 1.9 7.5 21.8 1.5 1.5 1.5 1.5 16.7 5 2 2 29.8 2 2 2 38 2 31.3 70 9 9 9 28.6 9 9 9 9 9 9 34.9 35 26.4 5 5 5 5 5 5 33.3 60 16.9 20 2.5 2.5 2.5 22.9 18 18 17.9 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 16.5 30 25.3 70 12.7 7.5 35 22.1 7.5 7.5 7.5 7.5 7.5 21.2 17 17 21.2 4.3 4.3 4.3 4.3 27.4 34 22.1 4.3 4.3 4.3 4 4 4 28.7 25 25 6 25.2 6 6 6 6 6 6 38 30 23.2 4 4 4 4 4 4 4 4 4 4 4 28.9 12.7 24 19.5 3 3 3 3 3 3 3 3 3 3 3 3 3 33.4 26 17.9 3 3 3 3 3 3 3 3 3 21.6 3 3 3 3 3 30.5 13 56 30 5 5 5 5 5 5 5 5 5 37.7 5 5 18.4 19 13.7 3 12 25 34 18.6 4 4 4 4 21 4 4 26.4 28 28 13.3 7 7 7 7 7 7 13.9 18 22.3 14 14 17.8 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 27.6 3.5 13.5 16 16.6 2 2 2 20.2 2 2 2 2 2 24.5 11 11 20.1 40 6.7 6.7 6.7 6.7 25.1 14 12.9 1.7 1.7 10 1.7 1.7 1.7 41.1 1.7 40.3 36.8 35.8 26 18.8 4 4 4 4 4 4 25.1 4 4 4 4 4 4 37.2 20 22.2 2.5 2.5 2.5 2.5 2.5 2.5 30.5 2.5 30 67.9 2.5 2.5 3.5 3.5 3.5 3.5 58.7 18 12.7 2.5 9 2.5 2.5 2.5 31.3 2.5 2.5 2.5 2.5 2.5 2.5 31.1 9.5 14.3 9.5 9 2.5 2.5 2.5 2.5 38.1 2.5 2.5 2.5 2.5 2.5 2.5 31.2 17 17 19.1 4 7.5 4 4 33.3 18 18 25.5 4.4 4.4 29.4 4.4 4.4 29.5 4.4 4.4 4.4 4.4 37.9 25 3 3 3 3 3 3 20.8 12 1.5 18.8 20 20 20.2 5 5 5 5 5 6 6 6 27.8 14 14 22.4 3.5 3.5 3.5 27.9 3.5 3.5 3.5 3.5 3.5 3.5 3.5 31 22.8 22.6 3 3 3 3 3 3 34.3 3 3 3 3 3 3 40.2 
# t
 0 2 12.5 24.5 37 48 60.5 72.5 85.3 96.5 108.5 112.5 0 2 4 16 27.8 40 52 63.5 64 76 88 100 112 124 135.5 0 1.5 11.5 23.5 35.5 47.5 59.3 73 83.5 84 96.5 108.5 120 132 134.3 0 1.8 12 24.3 35.8 48.1 59.3 59.8 71.8 83.8 95.8 107.8 119.8 130.8 0 2 12 24 36 48 59.5 60 72 84 96 108 120 132 0 1.8 11.8 23.8 35.8 47.8 59.3 59.8 71.8 83.8 95.8 107.8 120.1 131.8 142.8 0 2 11.3 23.3 36.5 48.2 60.3 73.8 75.8 84.3 96.3 108.3 120.3 132.3 144.5 165.3 0 1.7 11.8 23.7 35.7 47.7 59.7 71.7 73.7 83.7 95.7 107.7 119.7 131.7 143.7 146.7 0 1.1 11.1 22.3 34.6 46.6 58.7 70.9 82.7 83.2 94.6 106.6 118.6 130.6 142.1 142.6 312.6 0 1.2 11.2 23.2 35.3 47.2 59.2 70.7 71.2 83.2 95.2 107.2 119.2 131.2 142.2 0 11.5 23.5 35.5 47.5 57.5 0 2 12 13 24.5 36 48.5 60 72 84 96 108 120 132.2 132.5 302.5 0 12 25 36.5 37 49 61 74 85 98 110 121.3 134 145 157 169 0 2.3 11.8 23.8 35.8 47.8 59.3 59.8 71.8 83.8 95.8 107.3 119.8 131.5 131.8 143.8 303.3 0 12.2 22.2 24.2 36.2 47.8 70.2 85.6 96.2 108.2 120.2 132.2 143.7 145.7 0 9 12 15.4 21.3 33 45 56 57 69 81 93 105 117 129.5 141.5 152.8 153.5 0 12 24 32 35.5 48 60 72 72.3 84.3 95.8 108 120 132 144 155 0 2.8 11.8 23.8 35.8 48.1 59.3 71.3 71.8 82.8 95.8 107.8 119.8 131.8 143.8 389.8 0 4 9.5 13 24 35.9 48 59.9 72 83.5 84.3 96 108.3 120 132 144 158 0 2 12 24 36 48 60.5 62.5 72 84 95.5 108 120 132 134 0 4.2 8.3 15.8 28 39.8 51.8 63.8 76.8 88.3 100.8 112.3 112.8 124.3 136.3 148.8 260.6 0 4 6 16 28 40 51 0 11 11.5 24 35.5 47 59.5 70.5 71.5 84 95.8 107.5 120 132.5 140 0 0.7 2 6.5 16 28 40 52.7 64 76 79 88 100 112 124 136 147.5 176 0 2 12 18.5 21 23.7 35.8 48.3 60.5 61.5 70.7 72 84 90.5 95.8 108 120 121.5 132 138 0 11.5 23.5 35.5 37.5 47.5 59.5 71.5 83.5 95.5 107.5 110.5 0 1.7 12.4 23.7 35.2 48 59.7 71.7 83.2 0 2 0 12 23.5 36.5 47.5 0 2.2 6.3 15.3 26.3 38.8 50.8 62.8 75.3 87.3 98.8 110.8 123.3 134.8 226.3 0 1 0 6.5 12 21.6 24 24.3 35.6 48 61 72 83.5 0 4 5.5 16 28 40.3 52 65 0 1.8 11.8 23.8 47.8 59.8 71.8 83.8 86.8 0 3.5 15 19 27 39 51 63 75 87 99 0 2 12 23.5 36 48 60 72 85 96 108 120 132 134 304 0 2.3 11.8 24.3 36.3 48.3 60.3 72.8 84.3 96.3 108.3 119.8 132.3 144.3 156.3 159.8 0 1.8 11.6 23.3 35.3 47.3 59.3 71.3 83.3 95.3 107.3 118.8 119.3 131.3 143.3 155.3 167.3 183.3 310.3 0 1.4 12.7 24.4 36.4 48.4 60.4 72.3 84.8 96.4 108.4 110.4 120.4 132.4 260.4 0 1 2 3.8 4 0 2 7.3 12 24.8 33.9 36 48.3 58.7 59 0 12 14 23.7 36.2 47.8 60 72 84 95.5 0 2 0 5 11 17 29 41 54.5 65 77.5 89 101 113 125 125.5 292 0 4.5 12.5 24.5 36.5 48.3 48.5 60.5 72.5 84.5 96.5 106.5 0 0.5 2 0 9.3 19.3 33.3 36.3 38.3 0 2.8 11.3 23.3 28.8 35.3 47.5 59.3 65.8 71.8 84.8 112.3 137.9 0 2 12 24 36 48 60.5 72 74 84 96 108.5 120 132 144 150 0 3 12.5 24.5 36.5 48 60.5 72.5 81 84.5 88 89 96.5 108.5 120.5 132.5 144.5 157 162 0 3 11.5 12.5 24.5 36.5 49 60 60.5 72.5 84.5 96.5 108.5 120.5 132 0 2 4 12.5 35.5 37.5 59.5 71.5 83 83.5 95.5 107.5 119.5 131.5 143.5 155 0 4 6 23.8 27 28 39.5 47 0 3.7 9.7 15.7 27.7 29.7 39.7 51.7 63.2 63.7 75.7 87.7 99.7 111.3 0 12 24 36 48 60 72 74 0 12.7 20 0 0.5 1.7 12.2 24.7 37.2 47.8 60.2 72.2 84.2 96.2 109 0 0.5 8.5 12 24.3 35.8 47.5 48 59.5 72 84 96.3 107 120.3 131.8 0 1.8 12.5 24.3 36.3 48.8 60.3 72.3 73.8 84.3 96 108.3 120.5 132.3 144.8 146.8 
# is.dose
 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 0 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 
# Wt
 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.2 1.2 1.2 1.2 1.2 1.2 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.5 1.5 1.5 1.5 1.5 1.5 1.5 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.1 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 3.2 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 3.5 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 3.2 3.2 1 1 1 1 1 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.4 1.4 3.6 3.6 3.6 3.6 3.6 3.6 3.6 3.6 3.6 3.6 3.6 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 2.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.2 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.9 1.1 1.1 1.1 1.1 1.1 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 2.8 0.9 0.9 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 1.1 1.1 1.1 2.6 2.6 2.6 2.6 2.6 2.6 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.3 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.7 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.8 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 0.6 0.6 0.6 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 2.1 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.4 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 1.1 
# M
 59 
# ni
