      index  analytical        finite     % error 
                              difference 
         1       3.68769       3.68765   9.83503e-06
         2       1.70908       1.70908   9.19788e-07
         3       3.58379       3.58351   7.81638e-05
         4       2.07642       2.07642   2.59622e-06
         5      0.662426      0.662428   3.38695e-06
         6    -0.0964986    -0.0964224   0.000789715
         7       0.47085      0.470853   5.17991e-06
         8      0.070352     0.0703875    0.00050542
         9      -6.93507      -6.93547   5.75239e-05
        10       5.77374       5.77372   3.87482e-06
        11      -5.44246      -5.44246   1.05702e-06
        12     -0.461109     -0.461133    5.2595e-05
        13      -8.67356      -8.67308    5.5022e-05
        14      -3.04525      -3.04526    4.7152e-06
        15     -0.353806     -0.353816   2.90445e-05
        16      -2.72515      -2.72554   0.000144928
        17      0.497058      0.497067   1.89973e-05
        18        4.3219       4.32148   9.68473e-05
        19       12.4038       12.4045   5.81303e-05
        20      -5.92448      -5.92437   1.78992e-05
        21       1.67107       1.67114   4.05893e-05
        22      -2.11276      -2.11275   6.95146e-06
        23       5.77662       5.77712   8.59987e-05
        24       0.46489        0.4649   2.16548e-05
        25     -0.773106     -0.773106   2.08838e-07
        26       4.00668       4.00666   3.68071e-06
        27       -1.3829      -1.38291   8.48711e-06
        28      -5.67923      -5.67904     3.181e-05
        29      -5.43627      -5.43588   7.16964e-05
        30      -1.34951      -1.34955   3.05728e-05
        31       2.62534       2.62535   4.02616e-06
        32      -1.33635      -1.33635   2.37427e-06
        33       6.52085       6.52089   6.68857e-06
        34       1.37201       1.37201   4.22081e-06
        35     -0.437396     -0.437395    3.5111e-07
        36        3.5657        3.5657   1.17601e-06
        37      -1.13244      -1.13244   1.10751e-06
        38      -5.15283      -5.15286   7.01981e-06
        39      -7.25359      -7.25349    1.3509e-05
        40      0.757729      0.757732   4.13508e-06
        41    -0.0327172    -0.0327165   2.09096e-05
        42     -0.244996     -0.244996   3.40701e-07
        43      0.631101      0.631095   9.11219e-06
        44      0.039348     0.0393482   4.81033e-06
        45      0.137126      0.137126    1.9029e-07
        46       0.12242       0.12242   4.50864e-06
        47    -0.0930728    -0.0930729   1.07035e-06
        48     -0.467165     -0.467165   4.33759e-07
        49     -0.356128     -0.356128   1.47503e-06
        50    -0.0830847    -0.0830844   3.27053e-06
        51      -3.48527      -3.48533   1.72424e-05
        52       2.37355       2.37354   5.89113e-06
        53      -9.20729      -9.20748   2.14571e-05
        54      -1.38937      -1.38936   9.36532e-07
        55      0.817546      0.817546   6.82914e-07
        56      -5.45827      -5.45828   2.91215e-06
        57       1.58795       1.58796   2.24385e-06
        58       7.45626       7.45635   1.19529e-05
        59       9.70887       9.70835   5.32133e-05
        60     -0.140898       -0.1409   1.34366e-05
        61      -3.40295      -3.40295   5.22765e-07
        62      0.196589      0.196583    2.9178e-05
        63       -6.1277      -6.12788   2.95863e-05
        64      -1.76315      -1.76315   5.96561e-07
        65    -0.0756902    -0.0756884    2.2928e-05
        66      -2.35867      -2.35861    2.4306e-05
        67      0.656957      0.656947   1.57705e-05
        68        3.6057       3.60583   3.57168e-05
        69       8.15056       8.15034   2.68418e-05
        70      -3.12085      -3.12086   9.48937e-07
        71       7.24759       7.24792   4.47598e-05
        72     -0.103852     -0.103817   0.000340306
        73       12.3938       12.3926   0.000101418
        74         3.712       3.71204   1.15726e-05
        75     0.0582044     0.0582283   0.000410031
        76       4.78658       4.78768   0.000230056
        77      -1.04908      -1.04904   3.51065e-05
        78       -7.0687      -7.06943   0.000102946
        79      -16.8789      -16.8762   0.000159992
        80       6.54946       6.54955   1.41313e-05
        81      -5.98878      -5.98907   4.80636e-05
        82        2.6782       2.67819   3.48875e-06
        83      -14.3648      -14.3648   4.14909e-06
        84      -2.78977      -2.78979   6.62751e-06
        85      0.908746       0.90874   6.21606e-06
        86      -7.71836      -7.71849   1.68682e-05
        87        2.3273       2.32731   4.60428e-06
        88        10.971        10.971   7.25545e-07
        89       16.2373       16.2363   6.33377e-05
        90       -2.1517      -2.15166   1.78275e-05
        91       3.34317       3.34329     3.761e-05
        92      -2.62389      -2.62388   3.87923e-06
        93       9.56172       9.56226    5.6493e-05
        94       1.33524       1.33525   4.01286e-06
        95     -0.967544     -0.967547   2.54056e-06
        96       5.96724       5.96703   3.40515e-05
        97       -1.8439      -1.84391   3.67096e-06
        98      -8.18209      -8.18209   8.72037e-08
        99      -9.83255      -9.83211   4.40622e-05
       100     -0.378215     -0.378259   0.000116957
